id,isw,is,WIEH,wPSQ,wSE,wSW,wCRw,wEoS,wEoO,wEoP,wETV,wEuF,wSLQ,wDIS,wSLP,wSTR,wCTV,shdwd12,shdwd17,dynwd12,dynwd17,tempwd12,tempwd17,humwd12,humwd17,shdwd21,shdwd08,shdwd05,shdwe05,shdwe08,shdwe12,shdwe17,shdwe21,lgtwd05,lgtwd08,lgtwd12,lgtwd17,lgtwd21,lgtwe05,lgtwe08,lgtwe12,lgtwe17,lgtwe21,aqiwd05,aqiwd08,aqiwd12,aqiwd17,aqiwd21,aqiwe05,aqiwe08,aqiwe12,aqiwe17,aqiwe21,tempwd05,humwd05,tempwd08,humwd08,temwd12,huwd12,temwd17,huwd17,temwd21,huwd21,tempwe05,humwe05,termpwe08,humwe08,tempwe12,humwe12,tempwe17,humwe17,tempwe21,humwe21,trfwd05,trfwd08,trfwd12,trfwd17,trfwd21,trfwe05,trfwe08,trfwe12,trfwe17,trfwe21,dynwd05,dynwd08,dynwd21,dynwe08,dynwe05,dynwe12,dynwe17,dynwe21,cdynwd05,cdynwd08,cdynwd12,cdynwd17,cdynwd21,cdynwe05,cdynwe08,cdynwe12,cdynwe17,cdynwe21,cWIEH,urbantype,length,segment_id,part_idx,direction,source_node,target_node,segment_length,cost_dynwd12,cost_dynwd17,cost_dynwd05,cost_dynwd08,cost_dynwd21,cost_dynwe08,cost_dynwe05,cost_dynwe12,cost_dynwe17,cost_dynwe21,component_id
1,2.56,1.0,2.56,3,3.0,3.0,3,3,3,1.5,1,1,2,3,1,1,3,3,1,2.542,2.367,3.0,3.0,2.0,3.0,3,3,3,3,3,3,1,3,1,3,3,2,1,1,3,3,2,1,3,3,3,3,3,2,2,2,1,2,2,1,2,1,2,2,2,1,2,1,2,1,2,1,2,2,2,2,2,1,3,3,2,2,1,3,2,3,2,3,2.467,2.617,2.467,2.467,2.467,2.592,2.292,2.467,Reasonably age-friendly,Reasonably age-friendly,Reasonably age-friendly,Less age-friendly,Reasonably age-friendly,Reasonably age-friendly,Reasonably age-friendly,Reasonably age-friendly,Less age-friendly,Reasonably age-friendly,Less age-friendly,residential,43.259,1:0,0,forward,0,1,43.259,55.549,56.424,55.924,55.174,55.924,55.924,55.924,55.299,56.799,55.924,0
1,2.56,1.0,2.56,3,3.0,3.0,3,3,3,1.5,1,1,2,3,1,1,3,3,1,2.542,2.367,3.0,3.0,2.0,3.0,3,3,3,3,3,3,1,3,1,3,3,2,1,1,3,3,2,1,3,3,3,3,3,2,2,2,1,2,2,1,2,1,2,2,2,1,2,1,2,1,2,1,2,2,2,2,2,1,3,3,2,2,1,3,2,3,2,3,2.467,2.617,2.467,2.467,2.467,2.592,2.292,2.467,Reasonably age-friendly,Reasonably age-friendly,Reasonably age-friendly,Less age-friendly,Reasonably age-friendly,Reasonably age-friendly,Reasonably age-friendly,Reasonably age-friendly,Less age-friendly,Reasonably age-friendly,Less age-friendly,residential,43.259,1:0,0,backward,1,0,43.259,55.549,56.424,55.924,55.174,55.924,55.924,55.924,55.299,56.799,55.924,0
2,1.92,1.5,1.28,3,1.0,3.0,3,3,1,1.0,1,1,2,3,2,1,1,1,3,1.546,1.571,3.0,3.0,2.0,3.0,3,2,3,3,2,1,3,3,1,3,3,2,1,1,3,3,2,1,3,3,3,3,3,2,2,2,1,2,2,1,2,1,2,2,2,1,2,1,2,1,2,1,2,2,2,2,2,1,3,1,2,2,1,2,2,3,2,3,1.571,1.471,1.571,1.521,1.571,1.596,1.496,1.571,Reasonably age-friendly,Less age-friendly,Reasonably age-friendly,Reasonably age-friendly,Reasonably age-friendly,Reasonably age-friendly,Reasonably age-friendly,Reasonably age-friendly,Less age-friendly,Reasonably age-friendly,Less age-friendly,residential,20.086,2:0,0,forward,1,2,20.086,37.355999999999995,37.231,37.231,37.730999999999995,37.231,37.480999999999995,37.231,37.105999999999995,37.605999999999995,37.231,0
2,1.92,1.5,1.28,3,1.0,3.0,3,3,1,1.0,1,1,2,3,2,1,1,1,3,1.546,1.571,3.0,3.0,2.0,3.0,3,2,3,3,2,1,3,3,1,3,3,2,1,1,3,3,2,1,3,3,3,3,3,2,2,2,1,2,2,1,2,1,2,2,2,1,2,1,2,1,2,1,2,2,2,2,2,1,3,1,2,2,1,2,2,3,2,3,1.571,1.471,1.571,1.521,1.571,1.596,1.496,1.571,Reasonably age-friendly,Less age-friendly,Reasonably age-friendly,Reasonably age-friendly,Reasonably age-friendly,Reasonably age-friendly,Reasonably age-friendly,Reasonably age-friendly,Less age-friendly,Reasonably age-friendly,Less age-friendly,residential,20.086,2:0,0,backward,2,1,20.086,37.355999999999995,37.231,37.231,37.730999999999995,37.231,37.480999999999995,37.231,37.105999999999995,37.605999999999995,37.231,0
3,1.92,1.5,1.28,3,1.0,3.0,3,3,1,1.0,1,1,2,3,2,1,1,2,3,1.596,1.571,3.0,3.0,2.0,3.0,3,1,3,3,1,2,3,3,1,3,3,2,1,1,3,3,2,1,3,3,3,3,3,2,2,2,1,2,2,1,2,1,2,2,2,1,2,1,2,1,2,1,2,2,2,2,2,1,3,1,2,2,1,2,2,3,2,3,1.571,1.421,1.571,1.471,1.571,1.646,1.496,1.571,Reasonably age-friendly,Less age-friendly,Reasonably age-friendly,Reasonably age-friendly,Reasonably age-friendly,Reasonably age-friendly,Less age-friendly,Reasonably age-friendly,Less age-friendly,Reasonably age-friendly,Less age-friendly,uncategorized,35.079,3:0,0,forward,1,3,35.079,52.099000000000004,52.224000000000004,52.224000000000004,52.974000000000004,52.224000000000004,52.724000000000004,52.224000000000004,51.849000000000004,52.599000000000004,52.224000000000004,0
3,1.92,1.5,1.28,3,1.0,3.0,3,3,1,1.0,1,1,2,3,2,1,1,2,3,1.596,1.571,3.0,3.0,2.0,3.0,3,1,3,3,1,2,3,3,1,3,3,2,1,1,3,3,2,1,3,3,3,3,3,2,2,2,1,2,2,1,2,1,2,2,2,1,2,1,2,1,2,1,2,2,2,2,2,1,3,1,2,2,1,2,2,3,2,3,1.571,1.421,1.571,1.471,1.571,1.646,1.496,1.571,Reasonably age-friendly,Less age-friendly,Reasonably age-friendly,Reasonably age-friendly,Reasonably age-friendly,Reasonably age-friendly,Less age-friendly,Reasonably age-friendly,Less age-friendly,Reasonably age-friendly,Less age-friendly,uncategorized,35.079,3:0,0,backward,3,1,35.079,52.099000000000004,52.224000000000004,52.224000000000004,52.974000000000004,52.224000000000004,52.724000000000004,52.224000000000004,51.849000000000004,52.599000000000004,52.224000000000004,0
4,1.92,1.5,1.28,3,1.0,3.0,3,3,1,1.0,1,1,2,3,2,1,1,2,3,1.596,1.571,3.0,3.0,2.0,3.0,3,1,3,3,1,2,3,3,1,3,3,2,1,1,3,3,2,1,3,3,3,3,3,2,2,2,1,2,2,1,2,1,2,2,2,1,2,1,2,1,2,1,2,2,2,2,2,1,3,1,2,2,1,2,2,3,2,3,1.571,1.421,1.571,1.471,1.571,1.646,1.496,1.571,Reasonably age-friendly,Less age-friendly,Reasonably age-friendly,Reasonably age-friendly,Reasonably age-friendly,Reasonably age-friendly,Less age-friendly,Reasonably age-friendly,Less age-friendly,Reasonably age-friendly,Less age-friendly,uncategorized,28.353,4:0,0,forward,3,2,28.353,45.373000000000005,45.498000000000005,45.498000000000005,46.248000000000005,45.498000000000005,45.998000000000005,45.498000000000005,45.123000000000005,45.873000000000005,45.498000000000005,0
4,1.92,1.5,1.28,3,1.0,3.0,3,3,1,1.0,1,1,2,3,2,1,1,2,3,1.596,1.571,3.0,3.0,2.0,3.0,3,1,3,3,1,2,3,3,1,3,3,2,1,1,3,3,2,1,3,3,3,3,3,2,2,2,1,2,2,1,2,1,2,2,2,1,2,1,2,1,2,1,2,2,2,2,2,1,3,1,2,2,1,2,2,3,2,3,1.571,1.421,1.571,1.471,1.571,1.646,1.496,1.571,Reasonably age-friendly,Less age-friendly,Reasonably age-friendly,Reasonably age-friendly,Reasonably age-friendly,Reasonably age-friendly,Less age-friendly,Reasonably age-friendly,Less age-friendly,Reasonably age-friendly,Less age-friendly,uncategorized,28.353,4:0,0,backward,2,3,28.353,45.373000000000005,45.498000000000005,45.498000000000005,46.248000000000005,45.498000000000005,45.998000000000005,45.498000000000005,45.123000000000005,45.873000000000005,45.498000000000005,0
5,2.16,1.5,1.44,3,1.0,3.0,3,3,2,1.0,1,1,2,3,2,1,2,2,3,1.708,1.683,3.0,3.0,2.0,3.0,3,3,3,3,3,2,3,3,1,3,3,2,1,1,3,3,2,1,3,3,3,3,3,2,2,2,1,2,2,1,2,1,2,2,2,1,2,1,2,1,2,1,2,2,2,2,2,1,3,1,2,2,1,2,2,3,2,3,1.683,1.633,1.683,1.683,1.683,1.758,1.608,1.683,Reasonably age-friendly,Less age-friendly,Less age-friendly,Less age-friendly,Reasonably age-friendly,Reasonably age-friendly,Less age-friendly,Reasonably age-friendly,Less age-friendly,Reasonably age-friendly,Less age-friendly,uncategorized,20.48,5:0,0,forward,3,4,20.48,36.94,37.065,37.065,37.315,37.065,37.065,37.065,36.69,37.44,37.065,0
5,2.16,1.5,1.44,3,1.0,3.0,3,3,2,1.0,1,1,2,3,2,1,2,2,3,1.708,1.683,3.0,3.0,2.0,3.0,3,3,3,3,3,2,3,3,1,3,3,2,1,1,3,3,2,1,3,3,3,3,3,2,2,2,1,2,2,1,2,1,2,2,2,1,2,1,2,1,2,1,2,2,2,2,2,1,3,1,2,2,1,2,2,3,2,3,1.683,1.633,1.683,1.683,1.683,1.758,1.608,1.683,Reasonably age-friendly,Less age-friendly,Less age-friendly,Less age-friendly,Reasonably age-friendly,Reasonably age-friendly,Less age-friendly,Reasonably age-friendly,Less age-friendly,Reasonably age-friendly,Less age-friendly,uncategorized,20.48,5:0,0,backward,4,3,20.48,36.94,37.065,37.065,37.315,37.065,37.065,37.065,36.69,37.44,37.065,0
