id,isw,is,WIEH,wPSQ,wSE,wSW,wCRw,wEoS,wEoO,wEoP,wETV,wEuF,wSLQ,wDIS,wSLP,wSTR,wCTV,shdwd12,shdwd17,dynwd12,dynwd17,tempwd12,tempwd17,humwd12,humwd17,shdwd21,shdwd08,shdwd05,shdwe05,shdwe08,shdwe12,shdwe17,shdwe21,lgtwd05,lgtwd08,lgtwd12,lgtwd17,lgtwd21,lgtwe05,lgtwe08,lgtwe12,lgtwe17,lgtwe21,aqiwd05,aqiwd08,aqiwd12,aqiwd17,aqiwd21,aqiwe05,aqiwe08,aqiwe12,aqiwe17,aqiwe21,tempwd05,humwd05,tempwd08,humwd08,temwd12,huwd12,temwd17,huwd17,temwd21,huwd21,tempwe05,humwe05,termpwe08,humwe08,tempwe12,humwe12,tempwe17,humwe17,tempwe21,humwe21,trfwd05,trfwd08,trfwd12,trfwd17,trfwd21,trfwe05,trfwe08,trfwe12,trfwe17,trfwe21,dynwd05,dynwd08,dynwd21,dynwe08,dynwe05,dynwe12,dynwe17,dynwe21,cdynwd05,cdynwd08,cdynwd12,cdynwd17,cdynwd21,cdynwe05,cdynwe08,cdynwe12,cdynwe17,cdynwe21,cWIEH,urbantype,length,segment_id,part_idx,source_node,target_node,segment_length,component_id
1,2.56,1.0,2.56,3,3.0,3.0,3,3,3,1.5,1,1,2,3,1,1,3,3,1,2.542,2.367,3.0,3.0,2.0,3.0,3,3,3,3,3,3,1,3,1,3,3,2,1,1,3,3,2,1,3,3,3,3,3,2,2,2,1,2,2,1,2,1,2,2,2,1,2,1,2,1,2,1,2,2,2,2,2,1,3,3,2,2,1,3,2,3,2,3,2.467,2.617,2.467,2.467,2.467,2.592,2.292,2.467,Reasonably age-friendly,Reasonably age-friendly,Reasonably age-friendly,Less age-friendly,Reasonably age-friendly,Reasonably age-friendly,Reasonably age-friendly,Reasonably age-friendly,Less age-friendly,Reasonably age-friendly,Less age-friendly,residential,43.259,1:0,0,0,1,43.259,0
2,1.92,1.5,1.28,3,1.0,3.0,3,3,1,1.0,1,1,2,3,2,1,1,1,3,1.546,1.571,3.0,3.0,2.0,3.0,3,2,3,3,2,1,3,3,1,3,3,2,1,1,3,3,2,1,3,3,3,3,3,2,2,2,1,2,2,1,2,1,2,2,2,1,2,1,2,1,2,1,2,2,2,2,2,1,3,1,2,2,1,2,2,3,2,3,1.571,1.471,1.571,1.521,1.571,1.596,1.496,1.571,Reasonably age-friendly,Less age-friendly,Reasonably age-friendly,Reasonably age-friendly,Reasonably age-friendly,Reasonably age-friendly,Reasonably age-friendly,Reasonably age-friendly,Less age-friendly,Reasonably age-friendly,Less age-friendly,residential,20.086,2:0,0,1,2,20.086,0
3,1.92,1.5,1.28,3,1.0,3.0,3,3,1,1.0,1,1,2,3,2,1,1,2,3,1.596,1.571,3.0,3.0,2.0,3.0,3,1,3,3,1,2,3,3,1,3,3,2,1,1,3,3,2,1,3,3,3,3,3,2,2,2,1,2,2,1,2,1,2,2,2,1,2,1,2,1,2,1,2,2,2,2,2,1,3,1,2,2,1,2,2,3,2,3,1.571,1.421,1.571,1.471,1.571,1.646,1.496,1.571,Reasonably age-friendly,Less age-friendly,Reasonably age-friendly,Reasonably age-friendly,Reasonably age-friendly,Reasonably age-friendly,Less age-friendly,Reasonably age-friendly,Less age-friendly,Reasonably age-friendly,Less age-friendly,uncategorized,35.079,3:0,0,1,3,35.079,0
4,1.92,1.5,1.28,3,1.0,3.0,3,3,1,1.0,1,1,2,3,2,1,1,2,3,1.596,1.571,3.0,3.0,2.0,3.0,3,1,3,3,1,2,3,3,1,3,3,2,1,1,3,3,2,1,3,3,3,3,3,2,2,2,1,2,2,1,2,1,2,2,2,1,2,1,2,1,2,1,2,2,2,2,2,1,3,1,2,2,1,2,2,3,2,3,1.571,1.421,1.571,1.471,1.571,1.646,1.496,1.571,Reasonably age-friendly,Less age-friendly,Reasonably age-friendly,Reasonably age-friendly,Reasonably age-friendly,Reasonably age-friendly,Less age-friendly,Reasonably age-friendly,Less age-friendly,Reasonably age-friendly,Less age-friendly,uncategorized,28.353,4:0,0,3,2,28.353,0
5,2.16,1.5,1.44,3,1.0,3.0,3,3,2,1.0,1,1,2,3,2,1,2,2,3,1.708,1.683,3.0,3.0,2.0,3.0,3,3,3,3,3,2,3,3,1,3,3,2,1,1,3,3,2,1,3,3,3,3,3,2,2,2,1,2,2,1,2,1,2,2,2,1,2,1,2,1,2,1,2,2,2,2,2,1,3,1,2,2,1,2,2,3,2,3,1.683,1.633,1.683,1.683,1.683,1.758,1.608,1.683,Reasonably age-friendly,Less age-friendly,Less age-friendly,Less age-friendly,Reasonably age-friendly,Reasonably age-friendly,Less age-friendly,Reasonably age-friendly,Less age-friendly,Reasonably age-friendly,Less age-friendly,uncategorized,20.48,5:0,0,3,4,20.48,0
6,1.89,1.0,1.89,3,3.0,2.5,2,3,2,1.0,1,1,2,2,1,1,1,1,3,1.973,1.998,3.0,3.0,2.0,3.0,3,1,3,3,1,1,3,3,1,3,3,2,1,1,3,3,2,1,3,3,3,3,3,2,2,2,1,2,2,1,2,1,2,2,2,1,2,1,2,1,2,1,2,2,2,2,2,1,3,3,2,2,1,2,2,3,2,3,1.998,2.048,1.998,1.898,1.998,2.023,1.923,1.998,Reasonably age-friendly,Reasonably age-friendly,Reasonably age-friendly,Reasonably age-friendly,Reasonably age-friendly,Reasonably age-friendly,Reasonably age-friendly,Reasonably age-friendly,Reasonably age-friendly,Reasonably age-friendly,Reasonably age-friendly,uncategorized,28.909,6:0,0,4,1,28.909,0
7,2.8,1.0,2.8,3,3.0,3.0,3,3,3,1.5,3,2,2,3,1,1,3,2,3,2.76,2.635,3.0,3.0,2.0,3.0,3,1,3,3,1,2,3,3,1,3,3,2,1,1,3,3,2,1,3,3,3,3,3,2,2,2,1,2,2,1,2,1,2,2,2,1,2,1,2,1,2,1,2,2,2,2,2,1,3,3,3,2,3,3,3,3,3,3,2.635,2.685,2.635,2.635,2.635,2.71,2.66,2.635,More age-friendly,Reasonably age-friendly,Reasonably age-friendly,Reasonably age-friendly,More age-friendly,More age-friendly,Reasonably age-friendly,Reasonably age-friendly,Reasonably age-friendly,More age-friendly,Less age-friendly,campus,133.004,7:0,0,3,5,133.004,0
8,2.44,1.0,2.44,3,3.0,3.0,2,3,3,3.0,1,1,2,3,1,1,2,3,3,2.558,2.383,3.0,3.0,2.0,3.0,3,2,3,3,2,3,3,3,1,3,3,2,1,1,3,3,2,1,3,3,3,3,3,2,2,2,1,2,2,1,2,1,2,2,2,1,2,1,2,1,2,1,2,2,2,2,2,1,3,3,3,2,3,3,3,3,3,3,2.383,2.483,2.383,2.433,2.383,2.508,2.408,2.383,Reasonably age-friendly,Reasonably age-friendly,Reasonably age-friendly,Reasonably age-friendly,Reasonably age-friendly,Reasonably age-friendly,Reasonably age-friendly,Reasonably age-friendly,Reasonably age-friendly,Reasonably age-friendly,Less age-friendly,residential,115.081,8:0,0,2,6,115.081,0
9,1.92,2.0,0.96,3,1.0,3.0,2,3,1,1.0,1,1,2,3,2,2,2,1,3,1.422,1.347,3.0,3.0,2.0,3.0,3,1,3,3,1,1,3,3,1,3,3,2,1,1,3,3,2,1,3,3,3,3,3,2,2,2,1,2,2,1,2,1,2,2,2,1,2,1,2,1,2,1,2,2,2,2,2,1,1,3,3,2,3,3,2,3,3,3,1.347,1.397,1.347,1.247,1.347,1.372,1.372,1.347,Reasonably age-friendly,Less age-friendly,Less age-friendly,Less age-friendly,Reasonably age-friendly,Reasonably age-friendly,Less age-friendly,Less age-friendly,Less age-friendly,Reasonably age-friendly,Less age-friendly,residential,19.422,9:0,0,6,7,19.422,0
10,2.04,1.5,1.36,3,1.0,3.0,3,3,1,1.0,1,1,2,3,2,1,2,1,3,1.702,1.627,3.0,3.0,2.0,3.0,3,1,3,3,1,1,3,3,1,3,3,2,1,1,3,3,2,1,3,3,3,3,3,2,2,2,1,2,2,1,2,1,2,2,2,1,2,1,2,1,2,1,2,2,2,2,2,1,3,3,3,2,3,1,2,3,3,3,1.627,1.677,1.627,1.527,1.627,1.652,1.652,1.627,Reasonably age-friendly,Less age-friendly,Less age-friendly,Less age-friendly,Reasonably age-friendly,Reasonably age-friendly,Less age-friendly,Less age-friendly,Less age-friendly,Reasonably age-friendly,Less age-friendly,uncategorized,19.483,10:0,0,5,7,19.483,0
