segment_id,orig_feature_id,direction,length,dynwd,cost,source_node,target_node,edge_idx
37:0,37,forward,96.309,2.579,108.414,24,26,72
253:0,253,forward,36.562,2.441,49.357,26,190,456
254:0,254,forward,177.491,2.441,190.286,190,191,458
255:0,255,forward,104.375,2.441,117.17,191,192,460
284:0,284,forward,20.853,1.677,37.468,192,223,518
299:0,299,forward,91.387,2.237,105.202,223,237,548
300:0,300,forward,19.552,2.321,32.947,237,238,550
301:0,301,forward,10.866,2.321,24.261,238,239,552
302:0,302,forward,5.895,1.744,22.175,239,240,554
303:0,303,forward,15.033,2.209,28.988,240,241,556
372:0,372,forward,19.891,1.36,38.090999999999994,241,292,670
374:0,374,forward,45.207,1.922,60.597,292,294,674
378:0,378,backward,30.037,2.14,44.336999999999996,294,297,683
382:0,382,forward,29.99,1.922,45.379999999999995,297,301,690
