step,beta,gamma,j_perp,avg_energy,step_best_energy,best_energy_so_far,step_best_ones
0,0.2,3.0,8.7671445858398,76966.19503949802,-23857.27943503683,-23857.27943503683,37
1,0.26440677966101694,2.952542372881356,6.134184381799163,-20227.31889137466,-47543.09217905271,-47543.09217905271,42
2,0.32881355932203393,2.905084745762712,4.626168823284068,-27017.223770582234,-47543.09217905271,-47543.09217905271,42
3,0.39322033898305087,2.857627118644068,3.662294375197252,-27925.45692291937,-47543.09217905271,-47543.09217905271,42
4,0.4576271186440678,2.8101694915254236,2.9997838819433884,-28223.259533242246,-47543.09217905271,-47543.09217905271,42
5,0.5220338983050847,2.76271186440678,2.5202132786380456,-28274.89578076815,-47543.09217905271,-47543.09217905271,42
6,0.5864406779661018,2.7152542372881356,2.1593320210614597,-28279.575947282636,-47543.785729970245,-47543.785729970245,43
7,0.6508474576271186,2.6677966101694914,1.8794475513200992,-28288.43808946537,-47543.785729970245,-47543.785729970245,43
8,0.7152542372881356,2.6203389830508477,1.6570800368077094,-28291.39896864486,-47543.785729970245,-47543.785729970245,43
9,0.7796610169491525,2.5728813559322035,1.4768901366346319,-28298.66677020416,-47543.785729970245,-47543.785729970245,43
10,0.8440677966101695,2.5254237288135593,1.3284610610971352,-28306.2761801611,-47543.09217905271,-47543.785729970245,42
11,0.9084745762711863,2.477966101694915,1.2044878847904261,-28310.47628171979,-47543.09217905271,-47543.785729970245,42
12,0.9728813559322034,2.4305084745762713,1.0997071786482324,-28312.042169831002,-47543.785729970245,-47543.785729970245,43
13,1.0372881355932204,2.383050847457627,1.010237560475318,-28397.381916549137,-47543.785729970245,-47543.785729970245,43
14,1.1016949152542372,2.335593220338983,0.9331588588487881,-28440.77721104108,-47543.785729970245,-47543.785729970245,43
15,1.1661016949152543,2.288135593220339,0.8662352814517242,-28485.960416766433,-47543.785729970245,-47543.785729970245,43
16,1.230508474576271,2.240677966101695,0.8077284363938345,-28486.055151868146,-47543.785729970245,-47543.785729970245,43
