segment_id,orig_feature_id,direction,length,dynwd,cost,source_node,target_node,edge_idx
37:0,37,forward,96.309,2.629,108.164,24,26,72
253:0,253,forward,36.562,2.391,49.607,26,190,456
254:0,254,forward,177.491,2.391,190.536,190,191,458
255:0,255,forward,104.375,2.291,117.92,191,192,460
284:0,284,forward,20.853,1.527,38.218,192,223,518
299:0,299,forward,91.387,2.087,105.952,223,237,548
300:0,300,forward,19.552,2.171,33.697,237,238,550
301:0,301,forward,10.866,2.271,24.511,238,239,552
302:0,302,forward,5.895,1.694,22.425,239,240,554
303:0,303,forward,15.033,2.159,29.238,240,241,556
372:0,372,forward,19.891,1.31,38.340999999999994,241,292,670
374:0,374,forward,45.207,1.872,60.847,292,294,674
378:0,378,backward,30.037,2.09,44.587,294,297,683
382:0,382,forward,29.99,1.872,45.629999999999995,297,301,690
