segment_id,orig_feature_id,direction,length,dynwd,cost,source_node,target_node,edge_idx
509:0,509,backward,16.671,2.069,31.326,179,177,937
503:0,503,backward,114.682,2.356,127.902,177,182,925
239:0,239,backward,10.467,1.464,28.147,182,170,431
227:0,227,forward,69.973,2.373,83.108,170,143,408
192:0,192,forward,133.229,2.446,145.99900000000002,143,144,342
493:0,493,forward,100.687,2.446,113.457,144,23,904
34:0,34,forward,19.635,1.733,35.97,23,24,66
37:0,37,forward,96.309,2.629,108.164,24,26,72
253:0,253,forward,36.562,2.391,49.607,26,190,456
254:0,254,forward,177.491,2.391,190.536,190,191,458
255:0,255,forward,104.375,2.291,117.92,191,192,460
284:0,284,forward,20.853,1.577,37.968,192,223,518
299:0,299,forward,91.387,2.087,105.952,223,237,548
300:0,300,forward,19.552,2.171,33.697,237,238,550
301:0,301,forward,10.866,2.171,25.011000000000003,238,239,552
302:0,302,forward,5.895,1.494,23.425,239,240,554
303:0,303,forward,15.033,2.059,29.738,240,241,556
304:0,304,forward,4.215,1.322,22.605,241,242,558
305:0,305,forward,17.76,2.031,32.605000000000004,242,243,560
306:0,306,forward,71.172,1.328,89.532,243,244,562
