step,beta,gamma,j_perp,avg_energy,step_best_energy,best_energy_so_far,step_best_ones
0,0.2,3.0,8.7671445858398,94888.56309819983,-36824.575477445425,-36824.575477445425,51
1,0.26440677966101694,2.952542372881356,6.134184381799163,-9118.231296296337,-46892.25115870465,-46892.25115870465,49
2,0.32881355932203393,2.905084745762712,4.626168823284068,-17233.13238569808,-46901.08664834392,-46901.08664834392,50
3,0.39322033898305087,2.857627118644068,3.662294375197252,-19095.178639487378,-46901.08664834392,-46901.08664834392,50
4,0.4576271186440678,2.8101694915254236,2.9997838819433884,-19521.729282234362,-46901.08664834392,-46901.08664834392,50
5,0.5220338983050847,2.76271186440678,2.5202132786380456,-19703.875444529513,-46901.08664834392,-46901.08664834392,50
6,0.5864406779661018,2.7152542372881356,2.1593320210614597,-19800.369939145803,-46901.08664834392,-46901.08664834392,50
7,0.6508474576271186,2.6677966101694914,1.8794475513200992,-19905.565429588307,-46901.08664834392,-46901.08664834392,50
8,0.7152542372881356,2.6203389830508477,1.6570800368077094,-19990.28524028084,-46901.08664834392,-46901.08664834392,50
9,0.7796610169491525,2.5728813559322035,1.4768901366346319,-20009.340049395545,-46901.08664834392,-46901.08664834392,50
10,0.8440677966101695,2.5254237288135593,1.3284610610971352,-20023.46504483954,-46901.08664834392,-46901.08664834392,50
11,0.9084745762711863,2.477966101694915,1.2044878847904261,-20027.512127885595,-46901.08664834392,-46901.08664834392,50
12,0.9728813559322034,2.4305084745762713,1.0997071786482324,-20126.518099375982,-46901.08664834392,-46901.08664834392,50
13,1.0372881355932204,2.383050847457627,1.010237560475318,-20147.28679088371,-46901.08664834392,-46901.08664834392,50
14,1.1016949152542372,2.335593220338983,0.9331588588487881,-20330.750877244554,-46901.08664834392,-46901.08664834392,50
15,1.1661016949152543,2.288135593220339,0.8662352814517242,-20350.22714406928,-46901.08664834392,-46901.08664834392,50
16,1.230508474576271,2.240677966101695,0.8077284363938345,-20379.325235757635,-46901.08664834392,-46901.08664834392,50
17,1.2949152542372881,2.1932203389830507,0.7562680748669842,-20392.4589749166,-46901.08664834392,-46901.08664834392,50
18,1.359322033898305,2.145762711864407,0.7107608781225873,-20410.177935303545,-46901.08664834392,-46901.08664834392,50
19,1.423728813559322,2.0983050847457627,0.67032489817025,-20427.161265799597,-46901.08664834392,-46901.08664834392,50
20,1.4881355932203388,2.0508474576271185,0.6342416537873132,-20445.516835923212,-46901.08664834392,-46901.08664834392,50
21,1.5525423728813559,2.0033898305084747,0.6019206025695011,-20464.203328279997,-46901.08664834392,-46901.08664834392,50
22,1.6169491525423727,1.9559322033898305,0.5728724339344766,-20480.619110702715,-46901.08664834392,-46901.08664834392,50
23,1.6813559322033897,1.9084745762711866,0.546688745183783,-20502.238664382232,-46901.08664834392,-46901.08664834392,50
24,1.7457627118644068,1.8610169491525426,0.5230264009797442,-20602.66288834617,-46901.08664834392,-46901.08664834392,50
25,1.8101694915254236,1.8135593220338984,0.5015953732588893,-20616.99692864058,-46901.08664834392,-46901.08664834392,50
26,1.8745762711864407,1.7661016949152544,0.4821491982751001,-20633.368187120628,-46901.08664834392,-46901.08664834392,50
27,1.9389830508474575,1.7186440677966104,0.4644774233117071,-20644.371785888503,-46901.08664834392,-46901.08664834392,50
28,2.0033898305084747,1.6711864406779662,0.44839958166891114,-20658.51103727512,-46901.08664834392,-46901.08664834392,50
29,2.0677966101694913,1.6237288135593222,0.4337603530027691,-20764.41732446437,-46901.08664834392,-46901.08664834392,50
30,2.1322033898305084,1.5762711864406782,0.42042565164870177,-20771.789852572823,-46901.08664834392,-46901.08664834392,50
31,2.1966101694915254,1.528813559322034,0.40827944807331756,-20788.81671924905,-46901.08664834392,-46901.08664834392,50
32,2.2610169491525425,1.48135593220339,0.39722117478755736,-20801.629160941662,-46901.08664834392,-46901.08664834392,50
33,2.3254237288135595,1.433898305084746,0.38716360256650983,-20858.5583235146,-46901.08664834392,-46901.08664834392,50
34,2.3898305084745766,1.3864406779661018,0.37803109890781134,-20908.609366717457,-46901.08664834392,-46901.08664834392,50
35,2.454237288135593,1.3389830508474578,0.3697582006284919,-20915.931958147303,-46901.08664834392,-46901.08664834392,50
36,2.51864406779661,1.2915254237288138,0.36228844801186894,-20921.512140525312,-46901.08664834392,-46901.08664834392,50
37,2.5830508474576273,1.2440677966101696,0.3555734401923073,-20930.86912909015,-46901.08664834392,-46901.08664834392,50
38,2.6474576271186443,1.1966101694915257,0.3495720814260328,-20937.64925490108,-46901.08664834392,-46901.08664834392,50
39,2.711864406779661,1.1491525423728817,0.3442499962607039,-20940.555629563394,-46901.08664834392,-46901.08664834392,50
40,2.776271186440678,1.1016949152542375,0.33957909898246735,-20941.28650817906,-46901.08664834392,-46901.08664834392,50
41,2.840677966101695,1.0542372881355935,0.33553730962617,-20950.00733943517,-46901.08664834392,-46901.08664834392,50
42,2.905084745762712,1.0067796610169495,0.33210841582605516,-20954.466065288067,-46901.08664834392,-46901.08664834392,50
43,2.969491525423729,0.9593220338983053,0.3292820874796708,-20956.787237176162,-46901.08664834392,-46901.08664834392,50
44,3.0338983050847457,0.9118644067796611,0.3270540603852206,-20960.102119860447,-46901.08664834392,-46901.08664834392,50
45,3.0983050847457627,0.8644067796610173,0.32542651678937634,-20963.695815772688,-46901.08664834392,-46901.08664834392,50
46,3.1627118644067798,0.8169491525423731,0.3244087067781581,-20965.279236825783,-46901.08664834392,-46901.08664834392,50
47,3.227118644067797,0.7694915254237289,0.32401787719585073,-20965.262080356944,-46901.08664834392,-46901.08664834392,50
48,3.291525423728814,0.7220338983050851,0.3242806083913215,-20966.762731980023,-46901.08664834392,-46901.08664834392,50
49,3.3559322033898304,0.6745762711864409,0.32523471043442614,-20967.118200557597,-46901.08664834392,-46901.08664834392,50
50,3.4203389830508475,0.6271186440677967,0.32693191138885197,-20967.158737864156,-46901.08664834392,-46901.08664834392,50
51,3.4847457627118645,0.579661016949153,0.3294417020198396,-20967.772652538482,-46901.08664834392,-46901.08664834392,50
52,3.5491525423728816,0.5322033898305087,0.33285692346539725,-20968.84864544962,-46901.08664834392,-46901.08664834392,50
53,3.613559322033898,0.48474576271186454,0.3373020736014899,-20967.66472533008,-46901.08664834392,-46901.08664834392,50
54,3.6779661016949152,0.4372881355932208,0.3429460204917691,-20968.056348021353,-46901.08664834392,-46901.08664834392,50
55,3.7423728813559323,0.38983050847457656,0.35002218531134643,-20970.563568905225,-46901.08664834392,-46901.08664834392,50
56,3.8067796610169493,0.34237288135593236,0.358862074002305,-20969.420989633203,-46901.08664834392,-46901.08664834392,50
57,3.8711864406779664,0.2949152542372886,0.3699542601687287,-20968.607345819462,-46901.08664834392,-46901.08664834392,50
58,3.935593220338983,0.24745762711864439,0.3840560172335896,-20967.632564009968,-46901.08664834392,-46901.08664834392,50
59,4.0,0.2,0.40242611989749455,-20967.52648685298,-46901.08664834392,-46901.08664834392,50
