segment_id,orig_feature_id,direction,length,dynwd,cost,source_node,target_node,edge_idx
509:0,509,backward,16.671,2.094,31.201,179,177,937
503:0,503,backward,114.682,2.431,127.527,177,182,925
239:0,239,backward,10.467,1.789,26.522,182,170,431
227:0,227,forward,69.973,2.648,81.733,170,143,408
192:0,192,forward,133.229,2.471,145.87400000000002,143,144,342
493:0,493,forward,100.687,2.521,113.082,144,23,904
34:0,34,forward,19.635,1.658,36.345,23,24,66
37:0,37,forward,96.309,2.504,108.789,24,26,72
253:0,253,forward,36.562,2.366,49.732,26,190,456
254:0,254,forward,177.491,2.416,190.411,190,191,458
255:0,255,forward,104.375,2.466,117.045,191,192,460
284:0,284,forward,20.853,1.652,37.593,192,223,518
299:0,299,forward,91.387,2.212,105.327,223,237,548
300:0,300,forward,19.552,2.296,33.072,237,238,550
301:0,301,forward,10.866,2.296,24.386000000000003,238,239,552
302:0,302,forward,5.895,1.719,22.299999999999997,239,240,554
303:0,303,forward,15.033,2.184,29.113,240,241,556
304:0,304,forward,4.215,1.447,21.98,241,242,558
305:0,305,forward,17.76,2.156,31.98,242,243,560
306:0,306,forward,71.172,1.553,88.407,243,244,562
