walkability_field,total_runs,feasible_runs,within_theta_runs,within_hard_budget_runs,wins,ties,losses,no_route_runs,infeasible_runs,mean_cost_gap_vs_baseline,mean_max_similarity
dynwd05,3,3,3,3,0,3,0,0,0,0.0,0.05936414566440689
dynwd08,3,3,3,3,0,3,0,0,0,0.0,0.058546016074316344
dynwd12,3,3,3,3,0,3,0,0,0,0.0,0.058442858391095975
dynwd17,3,3,3,3,0,3,0,0,0,0.0,0.05842432384557226
dynwd21,3,3,3,3,0,3,0,0,0,0.0,0.05936414566440689
dynwe05,3,3,3,3,0,3,0,0,0,0.0,0.05936414566440689
dynwe08,3,3,3,3,0,3,0,0,0,0.0,0.05868225908284258
dynwe12,3,3,3,3,0,3,0,0,0,0.0,0.058589762407422315
dynwe17,3,3,3,3,0,3,0,0,0,0.0,0.07684218414709039
dynwe21,3,3,3,3,0,3,0,0,0,0.0,0.05936414566440689
