mode_name,warm_start_enabled,hard_overlap_mode,distance_label,total_runs,feasible_runs,within_theta_runs,within_hard_budget_runs,within_pathwise_ratio_runs,wins,ties,losses,no_route_runs,infeasible_runs,mean_cost_gap_vs_baseline,mean_max_similarity
budget_warm_on,True,budget,d0400,10,10,10,10,10,0,10,0,0,0,0.0,0.17670381872675078
budget_warm_on,True,budget,d0800,10,10,10,10,10,0,10,0,0,0,0.0,0.0
budget_warm_on,True,budget,d1200,10,10,10,10,10,0,10,0,0,0,0.0,0.0053913772550394385
budget_warm_off,False,budget,d0400,10,0,10,10,10,0,0,0,10,0,,0.0
budget_warm_off,False,budget,d0800,10,0,10,10,10,0,0,0,10,0,,0.0
budget_warm_off,False,budget,d1200,10,0,10,10,10,0,0,0,10,0,,0.0
budget_plus_ratio_warm_on,True,budget_plus_ratio,d0400,10,4,10,10,10,0,4,0,6,0,0.0,0.07123697479728826
budget_plus_ratio_warm_on,True,budget_plus_ratio,d0800,10,1,10,10,10,0,1,0,9,0,0.0,0.0
budget_plus_ratio_warm_on,True,budget_plus_ratio,d1200,10,4,10,10,10,0,4,0,6,0,0.0,0.0
budget_plus_ratio_warm_off,False,budget_plus_ratio,d0400,10,0,10,10,10,0,0,0,10,0,,0.0
budget_plus_ratio_warm_off,False,budget_plus_ratio,d0800,10,0,10,10,10,0,0,0,10,0,,0.0
budget_plus_ratio_warm_off,False,budget_plus_ratio,d1200,10,0,10,10,10,0,0,0,10,0,,0.0
