mode,walkability_field,total_runs,win,tie,loss,no_route,skipped
baseline_plus_block_move,dynwd05,15,0,15,0,0,0
baseline_plus_block_move,dynwd08,15,0,15,0,0,0
baseline_plus_block_move,dynwd12,15,0,15,0,0,0
baseline_plus_block_move,dynwd17,15,0,15,0,0,0
baseline_plus_block_move,dynwd21,15,0,15,0,0,0
baseline_plus_block_move,dynwe05,15,0,15,0,0,0
baseline_plus_block_move,dynwe08,15,0,15,0,0,0
baseline_plus_block_move,dynwe12,15,0,15,0,0,0
baseline_plus_block_move,dynwe17,15,0,15,0,0,0
baseline_plus_block_move,dynwe21,15,0,15,0,0,0
baseline_warm_start,dynwd05,15,0,15,0,0,0
baseline_warm_start,dynwd08,15,0,15,0,0,0
baseline_warm_start,dynwd12,15,0,15,0,0,0
baseline_warm_start,dynwd17,15,0,15,0,0,0
baseline_warm_start,dynwd21,15,0,15,0,0,0
baseline_warm_start,dynwe05,15,0,15,0,0,0
baseline_warm_start,dynwe08,15,0,15,0,0,0
baseline_warm_start,dynwe12,15,0,15,0,0,0
baseline_warm_start,dynwe17,15,0,15,0,0,0
baseline_warm_start,dynwe21,15,0,15,0,0,0
pure_sqa,dynwd05,15,0,0,0,15,0
pure_sqa,dynwd08,15,0,0,0,15,0
pure_sqa,dynwd12,15,0,0,0,15,0
pure_sqa,dynwd17,15,0,0,0,15,0
pure_sqa,dynwd21,15,0,0,0,15,0
pure_sqa,dynwe05,15,0,0,0,15,0
pure_sqa,dynwe08,15,0,0,0,15,0
pure_sqa,dynwe12,15,0,0,0,15,0
pure_sqa,dynwe17,15,0,0,0,15,0
pure_sqa,dynwe21,15,0,0,0,15,0
